ipc_subclass,bi_count,bi_psb_count,bi_average_precision,bi_precision@100,bi_precision@200,bi_precision@500,q35_count,q35_psb_count,q35_average_precision,q35_precision@100,q35_precision@200,q35_precision@500,rf_count,rf_psb_count,rf_average_precision,rf_precision@100,rf_precision@200,rf_precision@500,xgb_count,xgb_psb_count,xgb_average_precision,xgb_precision@100,xgb_precision@200,xgb_precision@500,lr_count,lr_psb_count,lr_average_precision,lr_precision@100,lr_precision@200,lr_precision@500,beauty_early_count,beauty_early_psb_count,beauty_early_average_precision,beauty_early_precision@100,beauty_early_precision@200,beauty_early_precision@500
D05B,281,7,0.02491103202846975,0.0,0.015,0.02491103202846975,281,7,0.05557598540580626,0.03,0.02,0.02491103202846975,281,7,0.03041965238591969,0.03,0.025,0.02491103202846975,281,7,0.022532095380910618,0.01,0.02,0.02491103202846975,281,7,0.0753825256684843,0.03,0.02,0.02491103202846975,281,7,0.045308746447381046,0.02,0.02,0.02491103202846975
G06K,828,7,0.008454106280193236,0.0,0.0,0.008,828,7,0.009207652083629858,0.0,0.01,0.008,828,7,0.008395080469529012,0.0,0.01,0.006,828,7,0.01743500322313031,0.02,0.01,0.008,828,7,0.01386887485655035,0.01,0.01,0.01,828,7,0.02075761744650366,0.01,0.015,0.012
A63B,1266,7,0.005529225908372828,0.0,0.005,0.002,1266,7,0.007993888337258545,0.0,0.0,0.008,1266,7,0.013753897514870824,0.01,0.01,0.008,1266,7,0.01977862811281038,0.02,0.02,0.014,1266,7,0.036154423043525924,0.02,0.02,0.01,1266,7,0.007471016761588582,0.01,0.005,0.01
E04B,560,7,0.0125,0.01,0.005,0.012,560,7,0.012547942007058884,0.0,0.005,0.012,560,7,0.024777724974459667,0.01,0.015,0.012,560,7,0.01132177089451105,0.0,0.005,0.014,560,7,0.011152554263733513,0.01,0.01,0.008,560,7,0.012728758633976206,0.01,0.015,0.01
C02F,528,7,0.013257575757575758,0.01,0.015,0.014,528,7,0.027294459521225053,0.01,0.01,0.014,528,7,0.02669166757417073,0.03,0.02,0.014,528,7,0.02387398003936573,0.02,0.01,0.014,528,7,0.013999611021550873,0.0,0.015,0.012,528,7,0.015258218607741639,0.01,0.015,0.014
H04B,838,7,0.008353221957040573,0.01,0.015,0.012,838,7,0.02949596962434323,0.03,0.015,0.01,838,7,0.06220958674590805,0.02,0.01,0.006,838,7,0.01037109672329867,0.01,0.01,0.008,838,7,0.015695813381118216,0.0,0.02,0.01,838,7,0.026184952700048086,0.02,0.01,0.01
H04N,2492,7,0.0028089887640449437,0.0,0.0,0.002,2492,7,0.01188252223590262,0.01,0.005,0.004,2492,7,0.0027351171202993807,0.0,0.0,0.002,2492,7,0.0027134840624169045,0.0,0.0,0.0,2492,7,0.006764040251744302,0.0,0.01,0.006,2492,7,0.006305658988343853,0.01,0.01,0.006
G03B,1310,7,0.0053435114503816794,0.0,0.0,0.0,1310,7,0.009020439774428773,0.01,0.005,0.01,1310,7,0.005718420897458701,0.0,0.005,0.002,1310,7,0.004746264497465543,0.0,0.0,0.004,1310,7,0.004175427144318694,0.0,0.0,0.0,1310,7,0.004306772098371452,0.0,0.0,0.002
H01S,857,6,0.007001166861143524,0.01,0.015,0.006,857,6,0.03171287635233808,0.03,0.015,0.008,857,6,0.00805083453685358,0.0,0.0,0.01,857,6,0.01141587769552627,0.01,0.01,0.01,857,6,0.0253324024632864,0.03,0.015,0.01,857,6,0.00651017899950109,0.0,0.0,0.004
G01B,983,6,0.006103763987792472,0.0,0.0,0.002,983,6,0.008989198975492186,0.01,0.005,0.006,983,6,0.004948286037451755,0.0,0.0,0.004,983,6,0.006407519023529484,0.0,0.0,0.006,983,6,0.016471752258600605,0.02,0.01,0.006,983,6,0.0066202287564516675,0.0,0.005,0.006
