ipc_subclass,bi_count,bi_psb_count,bi_average_precision,bi_precision@100,bi_precision@200,bi_precision@500,q35_count,q35_psb_count,q35_average_precision,q35_precision@100,q35_precision@200,q35_precision@500,rf_count,rf_psb_count,rf_average_precision,rf_precision@100,rf_precision@200,rf_precision@500,xgb_count,xgb_psb_count,xgb_average_precision,xgb_precision@100,xgb_precision@200,xgb_precision@500,beauty_count,beauty_psb_count,beauty_average_precision,beauty_precision@100,beauty_precision@200,beauty_precision@500
A01K,1027,2,0.0019474196689386564,0.01,0.005,0.004,1027,2,0.0033489487479783616,0.0,0.0,0.002,1027,2,0.08546552949538024,0.01,0.005,0.004,1027,2,0.012381567614125753,0.0,0.01,0.004,1027,2,1.0,0.02,0.01,0.004
A42B,103,1,0.009708737864077669,0.01,0.009708737864077669,0.009708737864077669,103,1,0.047619047619047616,0.01,0.009708737864077669,0.009708737864077669,103,1,0.1111111111111111,0.01,0.009708737864077669,0.009708737864077669,103,1,0.02702702702702703,0.01,0.009708737864077669,0.009708737864077669,103,1,1.0,0.01,0.009708737864077669,0.009708737864077669
A44B,206,1,0.0048543689320388345,0.01,0.005,0.0048543689320388345,206,1,0.012048192771084338,0.01,0.005,0.0048543689320388345,206,1,0.07142857142857142,0.01,0.005,0.0048543689320388345,206,1,0.030303030303030304,0.01,0.005,0.0048543689320388345,206,1,1.0,0.01,0.005,0.0048543689320388345
H01K,66,1,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,66,1,0.14285714285714285,0.015151515151515152,0.015151515151515152,0.015151515151515152,66,1,0.07692307692307693,0.015151515151515152,0.015151515151515152,0.015151515151515152,66,1,0.058823529411764705,0.015151515151515152,0.015151515151515152,0.015151515151515152,66,1,1.0,0.015151515151515152,0.015151515151515152,0.015151515151515152
H01M,561,1,0.0017825311942959,0.0,0.0,0.0,561,1,0.001941747572815534,0.0,0.0,0.0,561,1,0.0019723865877712033,0.0,0.0,0.0,561,1,0.0020491803278688526,0.0,0.0,0.002,561,1,1.0,0.01,0.005,0.002
A47J,330,1,0.0030303030303030303,0.0,0.0,0.0030303030303030303,330,1,0.018518518518518517,0.01,0.005,0.0030303030303030303,330,1,0.03571428571428571,0.01,0.005,0.0030303030303030303,330,1,0.020833333333333332,0.01,0.005,0.0030303030303030303,330,1,1.0,0.01,0.005,0.0030303030303030303
A47L,322,1,0.003105590062111801,0.0,0.0,0.003105590062111801,322,1,0.004784688995215311,0.0,0.0,0.003105590062111801,322,1,0.004098360655737705,0.0,0.0,0.003105590062111801,322,1,0.005649717514124294,0.0,0.005,0.003105590062111801,322,1,1.0,0.01,0.005,0.003105590062111801
A61M,1303,1,0.0007674597083653108,0.0,0.0,0.002,1303,1,0.0017421602787456446,0.0,0.0,0.0,1303,1,0.004201680672268907,0.0,0.0,0.002,1303,1,0.0013422818791946308,0.0,0.0,0.0,1303,1,1.0,0.01,0.005,0.002
A23L,460,1,0.002173913043478261,0.0,0.0,0.002173913043478261,460,1,0.0026954177897574125,0.0,0.0,0.002173913043478261,460,1,0.006493506493506494,0.0,0.005,0.002173913043478261,460,1,0.0024691358024691358,0.0,0.0,0.002173913043478261,460,1,1.0,0.01,0.005,0.002173913043478261
A61G,183,1,0.00546448087431694,0.0,0.00546448087431694,0.00546448087431694,183,1,0.030303030303030304,0.01,0.00546448087431694,0.00546448087431694,183,1,0.08333333333333333,0.01,0.00546448087431694,0.00546448087431694,183,1,0.014285714285714285,0.01,0.00546448087431694,0.00546448087431694,183,1,1.0,0.01,0.00546448087431694,0.00546448087431694
